"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\Loader.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\LoadingBox.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\MessageBox.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\Pagination.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\PaymentForm.jsx", "JavaScript JSX", 0, 0, 551, 0, 0, 0, 0, 47, 598
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\Playground.jsx", "JavaScript JSX", 0, 0, 370, 0, 0, 0, 3, 33, 406
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ReportTable.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 4, 6, 82
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ServiciosForm.jsx", "JavaScript JSX", 0, 0, 145, 0, 0, 0, 0, 21, 166
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\SimpleTable.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 0, 0, 8, 102
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\SplashSvg.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\components\ToolTip.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\controlConstants.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 12, 51
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\doctorConstants.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\gastoConstants.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 10, 47
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\listas.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 6, 164
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\pacienteConstants.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\productConstants.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 11, 50
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\servicioConstants.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 9, 40
"c:\NEW_PLAZA\plazadental-v2\frontend\src\constants\userConstants.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 11, 43
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\AddCircleIcon.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 2, 26
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\AddDocIcon.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CalendarioIcon.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CardDollarIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CheckIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CloseIcon.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CogIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\ControlAddIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\ControlIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\CuadreIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\DashboardIcon.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\DoctorIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\DollarIcon.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\EditIcon.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\EmpleadoIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\EmpleadosIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\GastosIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\HandDollarIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\InfoIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\InvoiceDollarIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\LockIcon.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\MinusCircleIcon.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\OdontologoIcon.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\Outpatient.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\PacienteAddIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\PacienteInfoIcon.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\PacientesIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\PeopleIcon.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\PlusCircleIcon.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\Printicon.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\ReporteIcon.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\SaveIcon.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\NEW_PLAZA\plazadental-v2\frontend\src\icons\SpreadSheetIcon.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 1, 8
